Mitchell Lindgren#13#FreeAgents
Paul Pierce#34#Celtics
Rajon Rondo#9#Celtics
Scottie Pippen#33#Bulls
Daniel Morris#69#FreeAgents
Wilt Chamberlain#13#Warriors
Andre Iguodala#9#Warriors
Julius Erving#6#Nets
Kevin Durant#35#Nets
Kyrie Irving#2#Nets
Conor McGregor#69#FreeAgents
Shaquille O'Neal#34#Lakers
Steve Kerr#25#Bulls
Stephen Curry#30#Warriors
Elon Musk#30#FreeAgents
Kareem Abdul-Jabbar#33#Lakers
Larry Bird#33#Celtics
Lebron James#23#Lakers
Kevin Garnett#5#Celtics
Klay Thompson#11#Warriors
Kobe Bryant#24#Lakers
Magic Johnson#32#Lakers
Michael Jordan#23#Bulls
Bill Russell#11#Celtics
Draymond Green#23#Warriors
Dennis Rodman#99#Bulls
Derrick Rose#1#Bulls
General Patton#3#FreeAgents
James Harden#13#Nets
Jason Kidd#9#Nets
